record     s_length         s_width   p_length      p_width     species    
51        	7.0       	3.2    	4.7       	1.4    	I.versicolor  
52        	6.4       	3.2    	4.5       	1.5    	I.versicolor   
53        	6.9       	3.1    	4.9       	1.5    	I.versicolor   
54        	5.5       	2.3    	4.0       	1.3    	I.versicolor   
55        	6.5       	2.8    	4.6       	1.5    	I.versicolor   
56        	5.7       	2.8    	4.5       	1.3    	I.versicolor   
57        	6.3       	3.3    	4.7       	1.6    	I.versicolor   
58        	4.9       	2.4    	3.3       	1.0    	I.versicolor   
59        	6.6       	2.9    	4.6       	1.3    	I.versicolor   
60        	5.2       	2.7    	3.9       	1.4    	I.versicolor   
61        	5.0       	2.0    	3.5       	1.0    	I.versicolor   
62        	5.9       	3.0    	4.2       	1.5    	I.versicolor   
63        	6.0       	2.2    	4.0       	1.0    	I.versicolor   
64        	6.1       	2.9    	4.7       	1.4    	I.versicolor   
65        	5.6       	2.9    	3.6       	1.3    	I.versicolor   
66        	6.7       	3.1    	4.4       	1.4    	I.versicolor   
67        	5.6       	3.0    	4.5       	1.5    	I.versicolor   
68        	5.8       	2.7    	4.1       	1.0    	I.versicolor   
69        	6.2       	2.2    	4.5       	1.5    	I.versicolor   
70        	5.6       	2.5    	3.9       	1.1    	I.versicolor   
71        	5.9       	3.2    	4.8       	1.8    	I.versicolor   
72        	6.1       	2.8    	4.0       	1.3    	I.versicolor   
73        	6.3       	2.5    	4.9       	1.5    	I.versicolor   
74        	6.1       	2.8    	4.7       	1.2    	I.versicolor   
75        	6.4       	2.9    	4.3       	1.3    	I.versicolor   
76        	6.6       	3.0    	4.4       	1.4    	I.versicolor   
77        	6.8       	2.8    	4.8       	1.4    	I.versicolor   
78        	6.7       	3.0    	5.0       	1.7    	I.versicolor   
79        	6.0       	2.9    	4.5       	1.5    	I.versicolor   
80        	5.7       	2.6    	3.5       	1.0    	I.versicolor   
81        	5.5       	2.4    	3.8       	1.1    	I.versicolor   
82        	5.5       	2.4    	3.7       	1.0    	I.versicolor   
83        	5.8       	2.7    	3.9       	1.2    	I.versicolor   
84        	6.0       	2.7    	5.1       	1.6    	I.versicolor   
85        	5.4       	3.0    	4.5       	1.5    	I.versicolor   
86        	6.0       	3.4    	4.5       	1.6    	I.versicolor   
87        	6.7       	3.1    	4.7       	1.5    	I.versicolor   
88        	6.3       	2.3    	4.4       	1.3    	I.versicolor   
89        	5.6       	3.0    	4.1       	1.3    	I.versicolor   
90        	5.5       	2.5    	4.0       	1.3    	I.versicolor   
91        	5.5       	2.6    	4.4       	1.2    	I.versicolor   
92        	6.1       	3.0    	4.6       	1.4    	I.versicolor   
93        	5.8       	2.6    	4.0       	1.2    	I.versicolor   
94        	5.0       	2.3    	3.3       	1.0    	I.versicolor   
95        	5.6       	2.7    	4.2       	1.3    	I.versicolor   
96        	5.7       	3.0    	4.2       	1.2    	I.versicolor   
97        	5.7       	2.9    	4.2       	1.3    	I.versicolor   
