length fish
  1.24    0
  1.30    0
  1.30    0
  1.32    1
  1.32    1
  1.40    1
  1.42    0
  1.42    1
  1.45    0
  1.45    0
  1.47    0
  1.47    1
  1.50    0
  1.52    0
  1.55    0
  1.60    0
  1.63    0
  1.65    0
  1.65    0
  1.65    1
  1.65    1
  1.68    1
  1.70    0
  1.73    0
  1.78    0
  1.78    0
  1.78    0
  1.80    0
  1.80    1
  1.85    1
  1.88    0
  1.93    0
  1.98    0
  2.03    1
  2.03    1
  2.16    1
  2.26    1
  2.31    1
  2.31    1
  2.36    1
  2.36    1
  2.39    1
  2.41    1
  2.44    1
  2.46    1
  2.56    0
  2.67    1
  2.72    0
  2.79    1
  2.84    1
  3.25    0
  3.28    0
  3.33    1
  3.56    1
  3.58    1
  3.66    1
  3.68    0
  3.71    1
  3.89    1
