  race             id
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
 white       Democrat     
